discipline_id,discipline_name,eventList
BK3,3x3 Basketball,"['BK3MTEAM3', 'BK3WTEAM3']"
ARC,Archery,"['ARCMINDIVID', 'ARCWINDIVID', 'ARCMTEAM3', 'ARCWTEAM3', 'ARCXTEAM2']"
GAR,Artistic Gymnastics,"['GARMTEAM', 'GARM1AA', 'GARM1APFX', 'GARM1APPH', 'GARM1APSR', 'GARM1APVT', 'GARM1APPB', 'GARM1APHB', 'GARWTEAM', 'GARW1AA', 'GARW1APVT', 'GARW1APUB', 'GARW1APBB', 'GARW1APFX']"
SWA,Artistic Swimming,"['SWAWTEAM2', 'SWAOTEAM8']"
ATH,Athletics,"['ATHM100M', 'ATHM200M', 'ATHM400M', 'ATHM800M', 'ATHM1500M', 'ATHM5000M', 'ATHM10000M', 'ATHMMARATHON', 'ATHM3000MST', 'ATHM110MHURD', 'ATHM400MHURD', 'ATHMHIGHJUMP', 'ATHMPLEVAULT', 'ATHMLONGJUMP', 'ATHMTRPLJUMP', 'ATHMSHOTPUT', 'ATHMDISCUS', 'ATHMHAMMER', 'ATHMJAVELIN', 'ATHMDECATH', 'ATHM20KMWALK', 'ATHM4X100M', 'ATHM4X400M', 'ATHW100M', 'ATHW200M', 'ATHW400M', 'ATHW800M', 'ATHW1500M', 'ATHW5000M', 'ATHW10000M', 'ATHWMARATHON', 'ATHW3000MST', 'ATHW100MHURD', 'ATHW400MHURD', 'ATHWHIGHJUMP', 'ATHWPLEVAULT', 'ATHWLONGJUMP', 'ATHWTRPLJUMP', 'ATHWSHOTPUT', 'ATHWDISCUS', 'ATHWHAMMER', 'ATHWJAVELIN', 'ATHWHEPTATH', 'ATHW20KMWALK', 'ATHW4X100M', 'ATHW4X400M', 'ATHX4X400M', 'ATHX42KWALKT']"
BDM,Badminton,"['BDMMSINGLES', 'BDMWSINGLES', 'BDMMDOUBLES', 'BDMWDOUBLES', 'BDMXDOUBLES']"
BKB,Basketball,"['BKBMTEAM5', 'BKBWTEAM5']"
VBV,Beach Volleyball,"['VBVMTEAM2', 'VBVWTEAM2']"
BOX,Boxing,"['BOXM51KG', 'BOXM57KG', 'BOXM63KG', 'BOXM71KG', 'BOXM80KG', 'BOXM92KG', 'BOXMO92KG', 'BOXW50KG', 'BOXW54KG', 'BOXW57KG', 'BOXW60KG', 'BOXW66KG', 'BOXW75KG']"
BKG,Breaking,"['BKGMINDIVID', 'BKGWINDIVID']"
CSL,Canoe Slalom,"['CSLMK1', 'CSLWK1', 'CSLMC1', 'CSLWC1', 'CSLMX1', 'CSLWX1']"
CSP,Canoe Sprint,"['CSPMK1-1000M', 'CSPMK2-500M', 'CSPMK4-500M', 'CSPMC1-1000M', 'CSPMC2-500M', 'CSPWK1-500M', 'CSPWK2-500M', 'CSPWK4-500M', 'CSPWC1-200M', 'CSPWC2-500M']"
BMF,Cycling BMX Freestyle,"['BMFWINDVFRST', 'BMFMINDVFRST']"
BMX,Cycling BMX Racing,"['BMXWINDVRACE', 'BMXMINDVRACE']"
MTB,Cycling Mountain Bike,"['MTBMXCTRY', 'MTBWXCTRY']"
CRD,Cycling Road,"['CRDMRR', 'CRDWRR', 'CRDMTT', 'CRDWTT']"
CTR,Cycling Track,"['CTRMSPRTEAM3', 'CTRMSPRINT', 'CTRMKEIRIN', 'CTRMPURTEAM4', 'CTRMOMNIUM', 'CTRMMADISON', 'CTRWSPRTEAM3', 'CTRWSPRINT', 'CTRWKEIRIN', 'CTRWPURTEAM4', 'CTRWOMNIUM', 'CTRWMADISON']"
DIV,Diving,"['DIVW3M', 'DIVW10M', 'DIVW3MTEAM2', 'DIVW10MTEAM2', 'DIVM3M', 'DIVM10M', 'DIVM3MTEAM2', 'DIVM10MTEAM2']"
EQU,Equestrian,"['EQUOEVENTEAM', 'EQUOEVENINDV', 'EQUODRESTEAM', 'EQUODRESINDV', 'EQUOJUMPTEAM', 'EQUOJUMPINDV']"
FEN,Fencing,"['FENWEPEE', 'FENWFOIL', 'FENWSABRE', 'FENMEPEE', 'FENMFOIL', 'FENMSABRE', 'FENWTEAMEPEE', 'FENWTEAMFOIL', 'FENWTEAMSABR', 'FENMTEAMEPEE', 'FENMTEAMFOIL', 'FENMTEAMSABR']"
FBL,Football,"['FBLMTEAM11', 'FBLWTEAM11']"
GLF,Golf,"['GLFMSTROKE', 'GLFWSTROKE']"
HBL,Handball,"['HBLMTEAM7', 'HBLWTEAM7']"
HOC,Hockey,"['HOCMTEAM11', 'HOCWTEAM11']"
JUD,Judo,"['JUDW48KG', 'JUDW52KG', 'JUDW57KG', 'JUDW63KG', 'JUDW70KG', 'JUDW78KG', 'JUDWO78KG', 'JUDM60KG', 'JUDM66KG', 'JUDM73KG', 'JUDM81KG', 'JUDM90KG', 'JUDM100KG', 'JUDMO100KG', 'JUDXTEAM6']"
OWS,Marathon Swimming,"['OWSW10KM', 'OWSM10KM']"
MPN,Modern Pentathlon,"['MPNWINDIVID', 'MPNMINDIVID']"
GRY,Rhythmic Gymnastics,"['GRYW1AA', 'GRYW5AA']"
ROW,Rowing,"['ROWWNOCOX2', 'ROWMNOCOX2', 'ROWWSCULL2', 'ROWMSCULL2', 'ROWWNOCOX4', 'ROWMNOCOX4', 'ROWWSCULL1', 'ROWMSCULL1', 'ROWWSCULL2-L', 'ROWMSCULL2-L', 'ROWWSCULL4', 'ROWMSCULL4', 'ROWWCOXED8', 'ROWMCOXED8']"
RU7,Rugby Sevens,"['RU7MTEAM7', 'RU7WTEAM7']"
SAL,Sailing,"['SALMIQFOIL', 'SALMFORMKITE', 'SALMILCA7', 'SALM49ER', 'SALWIQFOIL', 'SALWFORMKITE', 'SALWILCA6', 'SALW49ERFX', 'SALX470', 'SALXNACRA17']"
SHO,Shooting,"['SHOMARM', 'SHOMR3PM', 'SHOMAPM', 'SHOMRFPM', 'SHOMTRM', 'SHOMSKM', 'SHOWARW', 'SHOWR3PW', 'SHOWAPW', 'SHOWSPW', 'SHOWTRW', 'SHOWSKW', 'SHOXARMT', 'SHOXAPMT', 'SHOXSKMT']"
SKB,Skateboarding,"['SKBWSTREET', 'SKBMSTREET', 'SKBWPARK', 'SKBMPARK']"
CLB,Sport Climbing,"['CLBWBLCOMB', 'CLBWSPEED', 'CLBMBLCOMB', 'CLBMSPEED']"
SRF,Surfing,"['SRFMSHORTBRD', 'SRFWSHORTBRD']"
SWM,Swimming,"['SWMW50MFR', 'SWMW100MFR', 'SWMW200MFR', 'SWMW400MFR', 'SWMW800MFR', 'SWMW1500MFR', 'SWMW100MBA', 'SWMW200MBA', 'SWMW100MBR', 'SWMW200MBR', 'SWMW100MBF', 'SWMW200MBF', 'SWMW200MIM', 'SWMW400MIM', 'SWMW4X100MFR', 'SWMW4X200MFR', 'SWMW4X100MMD', 'SWMM50MFR', 'SWMM100MFR', 'SWMM200MFR', 'SWMM400MFR', 'SWMM800MFR', 'SWMM1500MFR', 'SWMM100MBA', 'SWMM200MBA', 'SWMM100MBR', 'SWMM200MBR', 'SWMM100MBF', 'SWMM200MBF', 'SWMM200MIM', 'SWMM400MIM', 'SWMM4X100MFR', 'SWMM4X200MFR', 'SWMM4X100MMD', 'SWMX4X100MMD']"
TTE,Table Tennis,"['TTEMSINGLES', 'TTEWSINGLES', 'TTEXDOUBLES', 'TTEMTEAM', 'TTEWTEAM']"
TKW,Taekwondo,"['TKWM58KG', 'TKWM68KG', 'TKWM80KG', 'TKWMO80KG', 'TKWW49KG', 'TKWW57KG', 'TKWW67KG', 'TKWWO67KG']"
TEN,Tennis,"['TENMSINGLES', 'TENWSINGLES', 'TENMDOUBLES', 'TENWDOUBLES', 'TENXDOUBLES']"
GTR,Trampoline Gymnastics,"['GTRM1TRA', 'GTRW1TRA']"
TRI,Triathlon,"['TRIWOLYMPIC', 'TRIMOLYMPIC', 'TRIXTEAM4']"
VVO,Volleyball,"['VVOMTEAM6', 'VVOWTEAM6']"
WPO,Water Polo,"['WPOMTEAM7', 'WPOWTEAM7']"
WLF,Weightlifting,"['WLFW49KG', 'WLFW59KG', 'WLFW71KG', 'WLFW81KG', 'WLFWO81KG', 'WLFM61KG', 'WLFM73KG', 'WLFM89KG', 'WLFM102KG', 'WLFMO102KG']"
WRE,Wrestling,"['WREMGR60KG', 'WREMGR67KG', 'WREMGR77KG', 'WREMGR87KG', 'WREMGR97KG', 'WREMGR130KG', 'WREWFS50KG', 'WREWFS53KG', 'WREWFS57KG', 'WREWFS62KG', 'WREWFS68KG', 'WREWFS76KG', 'WREMFS57KG', 'WREMFS65KG', 'WREMFS74KG', 'WREMFS86KG', 'WREMFS97KG', 'WREMFS125KG']"
